applicant_name,role,city_type,previous_ctc,previous_job_switches,graduation_marks,previous_exp,expected_ctc,Unnamed: 8
Applicant 281,Manager,Non-Metro,"  52,883.00 ",1.0,55.0,40.0,"  78,949.12 ",
Applicant 282,Manager,Metro,"  68,419.00 ",4.0,46.0,54.0,"  106,418.32 ",
Applicant 283,Executive,Metro,"  50,242.00 ",4.0,71.0,30.0,"  70,060.23 ",
Applicant 284,Executive,Non-Metro,"  57,133.00 ",3.0,72.0,55.0,"  77,111.81 ",
Applicant 285,Executive,Non-Metro,"  52,065.00 ",4.0,80.0,52.0,"  68,439.79 ",
Applicant 286,Executive,Metro,"  53,490.00 ",2.0,72.0,46.0,"  68,607.86 ",
Applicant 287,Executive,Non-Metro,"  68,539.00 ",3.0,51.0,46.0,"  76,839.09 ",
Applicant 288,Executive,Non-Metro,"  48,471.00 ",1.0,52.0,63.0,"  70,363.67 ",
Applicant 289,Manager,Non-Metro,"  59,759.00 ",4.0,67.0,59.0,"  104,376.58 ",
Applicant 290,Executive,Metro,"  48,380.00 ",2.0,76.0,52.0,"  83,078.61 ",
Applicant 291,Executive,Non-Metro,"  56,990.00 ",3.0,85.0,28.0,"  72,326.83 ",
Applicant 292,Executive,Metro,"  51,090.00 ",3.0,80.0,29.0,"  88,238.24 ",
Applicant 293,Manager,Metro,"  74,198.00 ",1.0,57.0,25.0,"  99,644.51 ",
Applicant 294,Executive,Non-Metro,"  49,883.00 ",2.0,83.0,22.0,"  60,621.48 ",
Applicant 295,Executive,Metro,"  54,757.00 ",1.0,70.0,25.0,"  81,168.14 ",
Applicant 296,Executive,Metro,"  47,031.00 ",1.0,77.0,18.0,"  69,525.73 ",
Applicant 297,Manager,Metro,"  50,737.00 ",3.0,59.0,19.0,"  80,080.39 ",
Applicant 298,Manager,Metro,"  51,867.00 ",3.0,71.0,47.0,"  82,688.35 ",
Applicant 299,Manager,Metro,"  55,886.00 ",1.0,59.0,31.0,"  96,427.67 ",
Applicant 300,Executive,Non-Metro,"  58,056.00 ",2.0,35.0,48.0,"  69,477.19 ",
Applicant 301,Executive,Metro,"  53,101.00 ",4.0,70.0,36.0,"  74,538.40 ",
Applicant 302,Manager,Non-Metro,"  48,782.00 ",4.0,48.0,53.0,"  79,584.68 ",
Applicant 303,Executive,Non-Metro,"  61,585.00 ",1.0,43.0,56.0,"  74,831.10 ",
Applicant 304,Executive,Non-Metro,"  59,979.00 ",4.0,75.0,28.0,"  58,131.91 ",
Applicant 305,Executive,Non-Metro,"  63,899.00 ",1.0,56.0,57.0,"  84,743.00 ",
Applicant 306,Executive,Metro,"  54,798.00 ",1.0,54.0,29.0,"  75,534.40 ",
Applicant 307,Executive,Non-Metro,"  54,744.00 ",4.0,78.0,28.0,"  81,481.56 ",
Applicant 308,Executive,Non-Metro,"  58,383.00 ",2.0,46.0,30.0,"  69,300.19 ",
Applicant 309,Executive,Metro,"  58,709.00 ",4.0,85.0,58.0,"  90,313.75 ",
Applicant 310,Executive,Non-Metro,"  54,126.00 ",2.0,43.0,41.0,"  73,396.24 ",
Applicant 311,Executive,Metro,"  52,976.00 ",4.0,50.0,50.0,"  70,039.59 ",
Applicant 312,Executive,Non-Metro,"  50,339.00 ",2.0,60.0,19.0,"  70,424.37 ",
Applicant 313,Manager,Metro,"  61,609.00 ",2.0,74.0,43.0,"  91,694.57 ",
Applicant 314,Executive,Metro,"  63,395.00 ",1.0,66.0,49.0,"  74,782.68 ",
Applicant 315,Manager,Non-Metro,"  61,270.00 ",2.0,73.0,27.0,"  102,262.82 ",
Applicant 316,Executive,Metro,"  61,862.00 ",4.0,51.0,52.0,"  79,093.55 ",
Applicant 317,Executive,Metro,"  60,695.00 ",1.0,62.0,50.0,"  70,326.56 ",
Applicant 318,Executive,Metro,"  59,922.00 ",3.0,42.0,54.0,"  86,260.00 ",
Applicant 319,Executive,Non-Metro,"  53,748.00 ",2.0,74.0,44.0,"  63,434.77 ",
Applicant 320,Executive,Metro,"  62,196.00 ",2.0,69.0,32.0,"  66,943.01 ",
Applicant 321,Executive,Metro,"  52,827.00 ",2.0,43.0,34.0,"  65,127.58 ",
Applicant 322,Executive,Non-Metro,"  56,003.00 ",1.0,68.0,26.0,"  79,572.91 ",
Applicant 323,Manager,Metro,"  60,107.00 ",3.0,40.0,34.0,"  108,959.68 ",
Applicant 324,Executive,Metro,"  67,292.00 ",3.0,46.0,57.0,"  75,485.17 ",
Applicant 325,Executive,Metro,"  49,605.00 ",4.0,58.0,29.0,"  66,564.34 ",
Applicant 326,Executive,Metro,"  63,647.00 ",3.0,50.0,40.0,"  77,855.11 ",
Applicant 327,Executive,Non-Metro,"  48,581.00 ",4.0,69.0,27.0,"  58,157.33 ",
Applicant 328,Manager,Metro,"  63,334.00 ",1.0,71.0,45.0,"  94,904.92 ",
Applicant 329,Manager,Non-Metro,"  62,264.00 ",2.0,52.0,64.0,"  114,996.23 ",
Applicant 330,Executive,Metro,"  61,180.00 ",1.0,53.0,52.0,"  84,453.82 ",
Applicant 331,Manager,Non-Metro,"  63,370.00 ",1.0,38.0,61.0,"  112,185.30 ",
Applicant 332,Manager,Metro,"  52,121.00 ",4.0,64.0,52.0,"  85,433.78 ",
Applicant 333,Executive,Non-Metro,"  58,782.00 ",4.0,81.0,61.0,"  71,725.42 ",
Applicant 334,Executive,Non-Metro,"  52,717.00 ",3.0,81.0,56.0,"  69,686.43 ",
Applicant 335,Executive,Non-Metro,"  65,291.00 ",2.0,51.0,43.0,"  87,624.82 ",
Applicant 336,Executive,Metro,"  62,820.00 ",3.0,62.0,64.0,"  75,366.41 ",
Applicant 337,Executive,Metro,"  55,219.00 ",3.0,36.0,60.0,"  69,293.67 ",
Applicant 338,Executive,Metro,"  50,637.00 ",4.0,81.0,62.0,"  72,653.54 ",
Applicant 339,Manager,Metro,"  56,777.00 ",3.0,72.0,50.0,"  101,676.27 ",
Applicant 340,Executive,Non-Metro,"  48,367.00 ",2.0,82.0,46.0,"  64,602.94 ",
Applicant 341,Executive,Non-Metro,"  50,440.00 ",4.0,49.0,24.0,"  84,891.91 ",
Applicant 342,Executive,Metro,"  56,640.00 ",4.0,59.0,62.0,"  80,912.22 ",
Applicant 343,Executive,Non-Metro,"  52,862.00 ",4.0,38.0,60.0,"  75,668.60 ",
Applicant 344,Executive,Metro,"  66,238.00 ",4.0,37.0,63.0,"  87,865.95 ",
Applicant 345,Executive,Non-Metro,"  63,067.00 ",2.0,41.0,49.0,"  72,570.68 ",
Applicant 346,Executive,Non-Metro,"  50,768.00 ",4.0,65.0,34.0,"  63,243.71 ",
Applicant 347,Executive,Metro,"  62,897.00 ",2.0,57.0,33.0,"  64,127.09 ",
Applicant 348,Executive,Metro,"  56,970.00 ",3.0,43.0,46.0,"  81,291.41 ",
Applicant 349,Executive,Non-Metro,"  50,145.00 ",2.0,57.0,36.0,"  58,437.39 ",
Applicant 350,Executive,Metro,"  57,744.00 ",3.0,71.0,19.0,"  68,804.22 ",
Applicant 351,Executive,Non-Metro,"  50,546.00 ",2.0,70.0,57.0,"  65,555.15 ",
Applicant 352,Executive,Non-Metro,"  49,630.00 ",3.0,39.0,50.0,"  78,953.09 ",
Applicant 353,Executive,Non-Metro,"  49,201.00 ",1.0,75.0,30.0,"  71,665.52 ",
Applicant 354,Executive,Metro,"  59,672.00 ",1.0,41.0,33.0,"  78,716.54 ",
Applicant 355,Executive,Non-Metro,"  65,360.00 ",4.0,85.0,18.0,"  67,305.64 ",
Applicant 356,Executive,Metro,"  56,630.00 ",4.0,78.0,46.0,"  91,874.27 ",
Applicant 357,Executive,Metro,"  66,225.00 ",2.0,52.0,46.0,"  68,828.39 ",
Applicant 358,Executive,Metro,"  50,905.00 ",1.0,51.0,47.0,"  71,592.06 ",
Applicant 359,Executive,Metro,"  70,139.00 ",3.0,57.0,23.0,"  69,655.87 ",
Applicant 360,Executive,Non-Metro,"  50,225.00 ",3.0,78.0,18.0,"  55,965.32 ",
Applicant 361,Executive,Non-Metro,"  58,491.00 ",1.0,82.0,48.0,"  77,992.00 ",
Applicant 362,Executive,Metro,"  54,429.00 ",3.0,73.0,35.0,"  67,723.64 ",
Applicant 363,Manager,Non-Metro,"  48,660.00 ",4.0,40.0,19.0,"  69,552.90 ",
Applicant 364,Executive,Non-Metro,"  54,944.00 ",4.0,52.0,21.0,"  71,319.69 ",
Applicant 365,Executive,Non-Metro,"  45,569.00 ",1.0,45.0,21.0,"  61,314.49 ",
Applicant 366,Executive,Non-Metro,"  54,688.00 ",3.0,72.0,49.0,"  77,659.80 ",
Applicant 367,Executive,Non-Metro,"  55,031.00 ",3.0,38.0,56.0,"  79,567.50 ",
Applicant 368,Executive,Non-Metro,"  47,800.00 ",3.0,51.0,42.0,"  64,852.24 ",
Applicant 369,Executive,Metro,"  53,525.00 ",3.0,76.0,44.0,"  76,874.67 ",
Applicant 370,Executive,Metro,"  58,158.00 ",4.0,52.0,18.0,"  74,609.27 ",
Applicant 371,Executive,Non-Metro,"  45,831.00 ",4.0,50.0,61.0,"  67,830.32 ",
Applicant 372,Executive,Non-Metro,"  49,068.00 ",3.0,38.0,57.0,"  76,946.27 ",
Applicant 373,Executive,Non-Metro,"  59,055.00 ",1.0,62.0,42.0,"  74,170.88 ",
Applicant 374,Manager,Metro,"  56,061.00 ",1.0,50.0,26.0,"  89,914.73 ",
Applicant 375,Executive,Metro,"  54,739.00 ",1.0,41.0,20.0,"  57,101.04 ",
Applicant 376,Manager,Non-Metro,"  48,909.00 ",1.0,63.0,23.0,"  72,988.31 ",
Applicant 377,Manager,Non-Metro,"  53,938.00 ",1.0,61.0,39.0,"  75,465.42 ",
Applicant 378,Manager,Metro,"  64,117.00 ",4.0,77.0,24.0,"  98,229.46 ",
Applicant 379,Executive,Non-Metro,"  53,523.00 ",1.0,61.0,64.0,"  75,104.22 ",
Applicant 380,Executive,Metro,"  54,533.00 ",1.0,68.0,62.0,"  94,600.05 ",
Applicant 381,Manager,Non-Metro,"  41,686.00 ",2.0,52.0,27.0,"  71,243.97 ",
Applicant 382,Manager,Metro,"  52,894.00 ",2.0,43.0,55.0,"  101,285.30 ",
Applicant 383,Executive,Metro,"  54,634.00 ",2.0,76.0,55.0,"  78,275.87 ",
Applicant 384,Executive,Non-Metro,"  71,502.00 ",4.0,49.0,35.0,"  74,600.09 ",
Applicant 385,Executive,Metro,"  49,626.00 ",3.0,59.0,44.0,"  72,344.51 ",
Applicant 386,Executive,Metro,"  64,324.00 ",4.0,74.0,19.0,"  71,994.50 ",
Applicant 387,Executive,Non-Metro,"  62,778.00 ",1.0,51.0,58.0,"  77,589.36 ",
Applicant 388,Executive,Metro,"  52,970.00 ",1.0,49.0,50.0,"  90,017.28 ",
Applicant 389,Executive,Non-Metro,"  45,893.00 ",4.0,75.0,26.0,"  65,271.68 ",
Applicant 390,Executive,Non-Metro,"  50,488.00 ",2.0,59.0,24.0,"  66,640.89 ",
Applicant 391,Executive,Metro,"  60,137.00 ",4.0,65.0,48.0,"  89,189.31 ",
Applicant 392,Executive,Non-Metro,"  57,816.00 ",4.0,66.0,19.0,"  59,189.52 ",
Applicant 393,Executive,Metro,"  51,943.00 ",1.0,62.0,48.0,"  69,695.94 ",
Applicant 394,Executive,Metro,"  59,544.00 ",3.0,51.0,49.0,"  70,404.00 ",
Applicant 395,Executive,Non-Metro,"  61,499.00 ",2.0,76.0,46.0,"  64,944.99 ",
Applicant 396,Executive,Metro,"  41,294.00 ",1.0,39.0,46.0,"  71,733.25 ",
Applicant 397,Executive,Non-Metro,"  58,538.00 ",1.0,75.0,43.0,"  76,807.18 ",
Applicant 398,Executive,Metro,"  57,406.00 ",2.0,61.0,21.0,"  84,235.74 ",
Applicant 399,Executive,Metro,"  50,528.00 ",1.0,68.0,64.0,"  74,927.63 ",
Applicant 400,Executive,Non-Metro,"  61,700.00 ",4.0,36.0,18.0,"  66,204.58 ",
Applicant 401,Executive,Non-Metro,"  47,270.00 ",1.0,51.0,51.0,"  68,331.12 ",
Applicant 402,Executive,Metro,"  69,065.00 ",1.0,76.0,47.0,"  80,932.58 ",
Applicant 403,Executive,Non-Metro,"  60,257.00 ",4.0,39.0,64.0,"  82,519.16 ",
Applicant 404,Executive,Metro,"  61,079.00 ",1.0,79.0,49.0,"  77,040.51 ",
Applicant 405,Executive,Metro,"  42,108.00 ",3.0,49.0,31.0,"  72,612.42 ",
Applicant 406,Executive,Non-Metro,"  63,977.00 ",4.0,63.0,52.0,"  84,692.16 ",
Applicant 407,Executive,Non-Metro,"  45,174.00 ",3.0,61.0,33.0,"  65,377.42 ",
Applicant 408,Executive,Non-Metro,"  52,699.00 ",3.0,69.0,47.0,"  69,660.75 ",
Applicant 409,Executive,Metro,"  42,512.00 ",2.0,80.0,38.0,"  69,717.83 ",
Applicant 410,Executive,Metro,"  55,176.00 ",3.0,75.0,32.0,"  57,008.66 ",
Applicant 411,Executive,Metro,"  38,605.00 ",1.0,38.0,19.0,"  69,365.78 ",
Applicant 412,Manager,Non-Metro,"  46,677.00 ",1.0,39.0,44.0,"  77,774.74 ",
Applicant 413,Manager,Non-Metro,"  45,778.00 ",1.0,71.0,26.0,"  79,016.85 ",
Applicant 414,Executive,Metro,"  43,939.00 ",2.0,39.0,25.0,"  74,387.54 ",
Applicant 415,Executive,Non-Metro,"  56,398.00 ",4.0,57.0,19.0,"  68,191.78 ",
Applicant 416,Executive,Non-Metro,"  55,835.00 ",2.0,42.0,43.0,"  60,230.16 ",
Applicant 417,Executive,Metro,"  63,076.00 ",2.0,76.0,52.0,"  73,796.54 ",
Applicant 418,Manager,Non-Metro,"  42,990.00 ",4.0,69.0,36.0,"  72,310.20 ",
Applicant 419,Executive,Metro,"  65,196.00 ",4.0,57.0,64.0,"  81,015.32 ",
Applicant 420,Manager,Non-Metro,"  52,971.00 ",3.0,38.0,63.0,"  81,697.60 ",
Applicant 421,Manager,Metro,"  59,430.00 ",4.0,54.0,64.0,"  104,243.15 ",
Applicant 422,Manager,Metro,"  60,711.00 ",1.0,65.0,61.0,"  101,556.34 ",
Applicant 423,Manager,Metro,"  55,375.00 ",1.0,68.0,40.0,"  106,794.93 ",
Applicant 424,Executive,Metro,"  52,454.00 ",4.0,73.0,25.0,"  71,600.02 ",
Applicant 425,Executive,Metro,"  58,185.00 ",3.0,83.0,48.0,"  81,949.56 ",
Applicant 426,Executive,Metro,"  47,925.00 ",1.0,36.0,45.0,"  73,749.23 ",
Applicant 427,Executive,Non-Metro,"  47,421.00 ",2.0,53.0,38.0,"  71,375.68 ",
Applicant 428,Executive,Non-Metro,"  51,533.00 ",3.0,61.0,18.0,"  72,477.67 ",
Applicant 429,Executive,Non-Metro,"  36,990.00 ",2.0,43.0,21.0,"  65,008.02 ",
Applicant 430,Executive,Non-Metro,"  56,116.00 ",1.0,67.0,27.0,"  84,698.85 ",
Applicant 431,Executive,Metro,"  62,878.00 ",2.0,47.0,19.0,"  97,088.21 ",
Applicant 432,Executive,Non-Metro,"  42,736.00 ",3.0,64.0,29.0,"  60,591.81 ",
Applicant 433,Executive,Metro,"  55,608.00 ",1.0,78.0,42.0,"  70,832.23 ",
Applicant 434,Executive,Non-Metro,"  59,842.00 ",4.0,46.0,60.0,"  71,889.51 ",
Applicant 435,Executive,Metro,"  56,444.00 ",3.0,45.0,31.0,"  73,635.67 ",
Applicant 436,Executive,Metro,"  53,316.00 ",1.0,48.0,60.0,"  70,999.92 ",
Applicant 437,Executive,Metro,"  53,856.00 ",2.0,75.0,22.0,"  66,756.42 ",
Applicant 438,Executive,Metro,"  54,873.00 ",2.0,58.0,35.0,"  72,489.65 ",
Applicant 439,Executive,Non-Metro,"  68,315.00 ",3.0,79.0,52.0,"  81,832.10 ",
Applicant 440,Executive,Metro,"  52,544.00 ",1.0,42.0,26.0,"  73,939.42 ",
Applicant 441,Executive,Non-Metro,"  57,189.00 ",3.0,47.0,31.0,"  66,790.50 ",
Applicant 442,Manager,Non-Metro,"  57,695.00 ",2.0,55.0,33.0,"  96,600.42 ",
Applicant 443,Executive,Metro,"  68,011.00 ",2.0,70.0,18.0,"  53,020.32 ",
Applicant 444,Executive,Non-Metro,"  64,691.00 ",2.0,44.0,59.0,"  80,588.67 ",
Applicant 445,Manager,Metro,"  53,910.00 ",3.0,75.0,56.0,"  90,228.63 ",
Applicant 446,Executive,Non-Metro,"  60,907.00 ",2.0,57.0,45.0,"  79,263.09 ",
Applicant 447,Executive,Metro,"  54,327.00 ",2.0,64.0,60.0,"  88,561.51 ",
Applicant 448,Executive,Non-Metro,"  46,538.00 ",1.0,53.0,56.0,"  62,424.16 ",
Applicant 449,Executive,Non-Metro,"  52,796.00 ",2.0,79.0,40.0,"  65,442.63 ",
Applicant 450,Executive,Metro,"  64,231.00 ",1.0,75.0,35.0,"  66,671.19 ",
Applicant 451,Executive,Metro,"  59,444.00 ",3.0,59.0,39.0,"  76,341.13 ",
Applicant 452,Executive,Metro,"  49,831.00 ",3.0,63.0,30.0,"  73,782.54 ",
Applicant 453,Executive,Metro,"  45,913.00 ",3.0,75.0,24.0,"  69,436.17 ",
Applicant 454,Executive,Metro,"  52,310.00 ",4.0,47.0,20.0,"  56,862.74 ",
Applicant 455,Executive,Metro,"  69,868.00 ",4.0,55.0,32.0,"  79,427.58 ",
Applicant 456,Executive,Metro,"  60,939.00 ",1.0,74.0,59.0,"  91,681.45 ",
Applicant 457,Executive,Non-Metro,"  57,469.00 ",3.0,45.0,55.0,"  77,103.63 ",
Applicant 458,Executive,Non-Metro,"  52,571.00 ",3.0,72.0,57.0,"  66,313.95 ",
Applicant 459,Executive,Metro,"  67,425.00 ",1.0,59.0,56.0,"  82,675.11 ",
Applicant 460,Executive,Non-Metro,"  59,817.00 ",1.0,78.0,40.0,"  67,427.14 ",
Applicant 461,Executive,Non-Metro,"  65,657.00 ",3.0,83.0,49.0,"  76,090.01 ",
Applicant 462,Manager,Metro,"  50,292.00 ",1.0,49.0,42.0,"  85,106.53 ",
Applicant 463,Executive,Non-Metro,"  60,081.00 ",2.0,41.0,62.0,"  75,901.99 ",
Applicant 464,Executive,Metro,"  52,897.00 ",4.0,49.0,56.0,"  82,030.46 ",
Applicant 465,Executive,Metro,"  52,642.00 ",1.0,84.0,19.0,"  63,601.24 ",
Applicant 466,Manager,Non-Metro,"  50,843.00 ",3.0,45.0,30.0,"  67,351.02 ",
Applicant 467,Executive,Non-Metro,"  56,192.00 ",2.0,50.0,60.0,"  81,955.26 ",
Applicant 468,Executive,Non-Metro,"  58,100.00 ",4.0,67.0,56.0,"  67,700.67 ",
Applicant 469,Executive,Non-Metro,"  47,928.00 ",3.0,83.0,28.0,"  92,828.33 ",
Applicant 470,Executive,Non-Metro,"  50,000.00 ",4.0,37.0,18.0,"  64,431.37 ",
Applicant 471,Executive,Metro,"  59,968.00 ",3.0,85.0,27.0,"  55,221.36 ",
Applicant 472,Executive,Non-Metro,"  57,102.00 ",3.0,49.0,18.0,"  66,958.60 ",
Applicant 473,Executive,Non-Metro,"  51,617.00 ",3.0,47.0,19.0,"  71,871.01 ",
Applicant 474,Executive,Non-Metro,"  57,304.00 ",2.0,85.0,47.0,"  93,477.17 ",
Applicant 475,Manager,Metro,"  53,736.00 ",4.0,45.0,54.0,"  79,771.46 ",
Applicant 476,Manager,Metro,"  51,073.00 ",2.0,45.0,61.0,"  86,575.65 ",
Applicant 477,Manager,Metro,"  50,138.00 ",3.0,70.0,24.0,"  95,813.53 ",
Applicant 478,Executive,Metro,"  63,654.00 ",2.0,56.0,25.0,"  75,793.14 ",
Applicant 479,Executive,Metro,"  57,408.00 ",1.0,83.0,21.0,"  56,636.90 ",
Applicant 480,Executive,Metro,"  55,569.00 ",4.0,69.0,23.0,"  65,668.72 ",
Applicant 481,Executive,Metro,"  63,988.00 ",2.0,79.0,63.0,"  80,614.98 ",
Applicant 482,Executive,Metro,"  61,721.00 ",2.0,45.0,49.0,"  70,220.52 ",
Applicant 483,Executive,Non-Metro,"  59,669.00 ",2.0,81.0,18.0,"  53,921.11 ",
Applicant 484,Executive,Non-Metro,"  65,851.00 ",2.0,60.0,51.0,"  75,572.88 ",
Applicant 485,Executive,Metro,"  62,411.00 ",4.0,42.0,48.0,"  77,207.70 ",
Applicant 486,Executive,Non-Metro,"  55,412.00 ",1.0,68.0,31.0,"  60,710.06 ",
Applicant 487,Executive,Non-Metro,"  43,715.00 ",1.0,78.0,54.0,"  75,143.25 ",
Applicant 488,Executive,Metro,"  54,231.00 ",1.0,62.0,19.0,"  76,382.82 ",
Applicant 489,Manager,Non-Metro,"  64,433.00 ",3.0,46.0,44.0,"  111,735.76 ",
Applicant 490,Executive,Metro,"  55,232.00 ",1.0,80.0,53.0,"  65,540.32 ",
Applicant 491,Executive,Non-Metro,"  61,583.00 ",3.0,52.0,19.0,"  67,531.15 ",
Applicant 492,Executive,Non-Metro,"  46,532.00 ",2.0,83.0,61.0,"  75,598.32 ",
Applicant 493,Executive,Non-Metro,"  53,540.00 ",1.0,67.0,18.0,"  69,264.00 ",
Applicant 494,Executive,Metro,"  64,566.00 ",3.0,81.0,61.0,"  89,477.54 ",
Applicant 495,Manager,Metro,"  48,681.00 ",4.0,81.0,21.0,"  82,925.12 ",
Applicant 496,Executive,Metro,"  56,554.00 ",1.0,74.0,20.0,"  76,083.30 ",
Applicant 497,Executive,Non-Metro,"  51,206.00 ",3.0,53.0,31.0,"  68,596.74 ",
Applicant 498,Executive,Metro,"  52,435.00 ",1.0,55.0,45.0,"  74,170.13 ",
Applicant 499,Executive,Non-Metro,"  50,155.00 ",4.0,39.0,44.0,"  59,306.19 ",
Applicant 500,Executive,Non-Metro,"  64,187.00 ",4.0,39.0,62.0,"  67,432.59 ",
Applicant 501,Manager,Metro,"  59,413.00 ",1.0,82.0,29.0,"  95,450.98 ",
Applicant 502,Executive,Metro,"  46,707.00 ",3.0,47.0,43.0,"  72,730.05 ",
Applicant 503,Manager,Metro,"  47,277.00 ",3.0,59.0,51.0,"  83,631.77 ",
Applicant 504,Manager,Metro,"  58,500.00 ",2.0,35.0,19.0,"  96,401.16 ",
Applicant 505,Executive,Non-Metro,"  57,730.00 ",3.0,77.0,38.0,"  64,151.37 ",
Applicant 506,Executive,Metro,"  51,923.00 ",2.0,62.0,37.0,"  78,114.29 ",
Applicant 507,Executive,Metro,"  51,612.00 ",2.0,37.0,22.0,"  60,924.86 ",
Applicant 508,Executive,Metro,"  43,980.00 ",3.0,77.0,21.0,"  71,338.39 ",
Applicant 509,Executive,Non-Metro,"  45,394.00 ",4.0,60.0,24.0,"  65,139.49 ",
Applicant 510,Executive,Non-Metro,"  55,176.00 ",4.0,35.0,57.0,"  69,100.46 ",
Applicant 511,Executive,Metro,"  56,245.00 ",2.0,45.0,56.0,"  86,927.86 ",
Applicant 512,Executive,Metro,"  59,043.00 ",2.0,49.0,27.0,"  69,219.33 ",
Applicant 513,Executive,Metro,"  48,766.00 ",4.0,37.0,51.0,"  73,707.10 ",
Applicant 514,Executive,Metro,"  58,626.00 ",4.0,61.0,19.0,"  76,788.27 ",
Applicant 515,Manager,Metro,"  52,001.00 ",2.0,49.0,39.0,"  85,600.10 ",
Applicant 516,Executive,Metro,"  59,352.00 ",4.0,43.0,58.0,"  85,744.04 ",
Applicant 517,Executive,Metro,"  64,052.00 ",3.0,52.0,20.0,"  91,330.57 ",
Applicant 518,Executive,Metro,"  57,344.00 ",4.0,38.0,45.0,"  68,928.96 ",
Applicant 519,Executive,Non-Metro,"  54,246.00 ",1.0,64.0,35.0,"  71,387.98 ",
Applicant 520,Executive,Metro,"  51,942.00 ",3.0,44.0,31.0,"  66,988.10 ",
Applicant 521,Executive,Non-Metro,"  56,726.00 ",2.0,58.0,50.0,"  92,894.44 ",
Applicant 522,Executive,Non-Metro,"  67,851.00 ",3.0,37.0,32.0,"  67,278.35 ",
Applicant 523,Executive,Non-Metro,"  62,959.00 ",3.0,49.0,51.0,"  79,975.83 ",
Applicant 524,Executive,Non-Metro,"  60,621.00 ",1.0,56.0,38.0,"  61,501.14 ",
Applicant 525,Manager,Metro,"  53,839.00 ",4.0,67.0,42.0,"  100,719.01 ",
Applicant 526,Executive,Non-Metro,"  59,229.00 ",3.0,85.0,18.0,"  61,871.80 ",
Applicant 527,Executive,Non-Metro,"  54,598.00 ",4.0,42.0,19.0,"  74,819.09 ",
Applicant 528,Executive,Non-Metro,"  51,247.00 ",4.0,73.0,51.0,"  71,395.15 ",
Applicant 529,Executive,Metro,"  69,245.00 ",1.0,46.0,46.0,"  76,576.50 ",
Applicant 530,Executive,Metro,"  45,520.00 ",2.0,75.0,18.0,"  59,940.20 ",
Applicant 531,Manager,Metro,"  65,606.00 ",1.0,35.0,57.0,"  101,280.17 ",
Applicant 532,Executive,Non-Metro,"  59,206.00 ",2.0,63.0,62.0,"  73,927.15 ",
Applicant 533,Executive,Metro,"  50,418.00 ",4.0,84.0,59.0,"  82,172.24 ",
Applicant 534,Executive,Metro,"  62,251.00 ",2.0,56.0,37.0,"  80,040.49 ",
Applicant 535,Executive,Metro,"  67,078.00 ",3.0,62.0,64.0,"  81,452.04 ",
Applicant 536,Executive,Metro,"  56,981.00 ",1.0,35.0,38.0,"  68,630.86 ",
Applicant 537,Executive,Non-Metro,"  64,976.00 ",2.0,68.0,33.0,"  79,118.64 ",
Applicant 538,Executive,Non-Metro,"  59,392.00 ",2.0,80.0,46.0,"  77,197.29 ",
Applicant 539,Executive,Non-Metro,"  52,617.00 ",1.0,75.0,46.0,"  70,505.65 ",
Applicant 540,Executive,Metro,"  51,484.00 ",3.0,51.0,53.0,"  87,095.67 ",
Applicant 541,Executive,Non-Metro,"  62,724.00 ",1.0,81.0,34.0,"  61,484.31 ",
Applicant 542,Executive,Non-Metro,"  57,844.00 ",2.0,42.0,20.0,"  65,493.39 ",
Applicant 543,Executive,Non-Metro,"  58,479.00 ",1.0,62.0,63.0,"  74,974.14 ",
Applicant 544,Manager,Non-Metro,"  73,856.00 ",1.0,75.0,54.0,"  121,362.73 ",
Applicant 545,Executive,Metro,"  60,126.00 ",1.0,44.0,54.0,"  66,575.29 ",
Applicant 546,Manager,Metro,"  49,947.00 ",2.0,56.0,49.0,"  85,975.90 ",
Applicant 547,Executive,Metro,"  63,402.00 ",1.0,44.0,28.0,"  67,244.50 ",
Applicant 548,Executive,Non-Metro,"  66,956.00 ",4.0,59.0,54.0,"  69,163.02 ",
Applicant 549,Executive,Non-Metro,"  50,975.00 ",2.0,65.0,25.0,"  63,470.60 ",
Applicant 550,Manager,Non-Metro,"  70,528.00 ",2.0,46.0,43.0,"  103,308.60 ",
Applicant 551,Executive,Metro,"  58,773.00 ",3.0,39.0,63.0,"  78,733.50 ",
Applicant 552,Executive,Non-Metro,"  52,160.00 ",3.0,40.0,32.0,"  59,944.47 ",
Applicant 553,Executive,Metro,"  46,289.00 ",4.0,85.0,62.0,"  80,727.84 ",
Applicant 554,Executive,Non-Metro,"  60,421.00 ",1.0,65.0,52.0,"  69,957.72 ",
Applicant 555,Executive,Non-Metro,"  65,688.00 ",1.0,48.0,25.0,"  86,779.90 ",
Applicant 556,Executive,Metro,"  44,223.00 ",1.0,73.0,28.0,"  60,276.99 ",
Applicant 557,Executive,Metro,"  57,888.00 ",1.0,79.0,46.0,"  69,644.59 ",
Applicant 558,Executive,Metro,"  61,457.00 ",2.0,37.0,34.0,"  62,905.33 ",
Applicant 559,Manager,Non-Metro,"  55,713.00 ",1.0,53.0,35.0,"  91,461.53 ",
Applicant 560,Executive,Metro,"  56,519.00 ",1.0,64.0,19.0,"  68,107.12 ",
Applicant 561,Executive,Non-Metro,"  46,264.00 ",3.0,52.0,46.0,"  59,944.19 ",
Applicant 562,Executive,Non-Metro,"  61,984.00 ",1.0,55.0,54.0,"  73,132.19 ",
